wireType,spec,w,h,source
AE,1.2-3C,3.1,6.5,出典：伸興電線 AE製品仕様（電材ストア等）の仕上外径。EM-AEは同社EM品も同径のため同値を採用（要個別確認）
EM-AE,0.65-2C,2.3,3.3,出典：伸興電線 AE製品仕様（電材ストア等）の仕上外径。EM-AEは同社EM品も同径のため同値を採用（要個別確認）
EM-AE,1.2-2C,3.0,4.8,出典：伸興電線 AE製品仕様（電材ストア等）の仕上外径。EM-AEは同社EM品も同径のため同値を採用（要個別確認）
EM-AE,1.2-3C,3.1,6.5,出典：伸興電線 AE製品仕様（電材ストア等）の仕上外径。EM-AEは同社EM品も同径のため同値を採用（要個別確認）
S-5C-FB,同軸1本,,7.4,
S-7C-FB,同軸1本,,10.3,
EM-S-5C-FB,同軸1本,,7.4,
EM-S-7C-FB,同軸1本,,10.3,
UTP0.5-4P(cat5e),4P,,5.5,
UTP0.5-4P(cat6),4P,,6.0,
UTP0.5-4P(cat6A),4P,,7.8,
EM-UTP0.5-4P(cat5e),4P,,5.3,
EM-UTP0.5-4P(cat6),4P,,5.8,
EM-UTP0.5-4P(cat6A),4P,,7.6,
CV,2sq,,6.4,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,3.5sq,,7,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,5.5sq,,8,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,8sq,,8.6,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,14sq,,9.4,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,22sq,,11,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,38sq,,13,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,60sq,,15.5,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,100sq,,19,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,150sq,,22,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,200sq,,26,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,250sq,,28,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CV,325sq,,31,出典：CVケーブル比較サイト（橋本興産）掲載の実測値。単心・600V、フジクラダイヤ値を採用
CVT,8sq,,18.5,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,14sq,,21,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,22sq,,24,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,38sq,,28,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,60sq,,34,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,100sq,,41,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,150sq,,48,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,200sq,,57,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,250sq,,61,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,325sq,,67,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,400sq,,74,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,500sq,,82,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
CVT,600sq,,89,出典：CVTケーブル比較サイト（橋本興産）掲載の実測値。600V、フジクラダイヤ値を採用（60sq=34.0mmを確認済み）
